1709577000, 1, 61
1709577000, 2, 49
1709577000, 3, 57
1709577000, 4, 35
1709577000, 5, 41
1709577300, 1, 14
1709577300, 2, 28
1709577300, 3, 101
1709577300, 4, 41
1709577300, 5, 39
1709577600, 1, 6
1709577600, 2, 44
1709577600, 3, 0
1709577600, 4, 48
1709577600, 5, 61
1709577900, 1, 78
1709577900, 2, 42
1709577900, 3, 35
1709577900, 4, 47
1709577900, 5, 27
1709578200, 1, 58
1709578200, 2, 87
1709578200, 3, 84
1709578200, 4, 76
1709578200, 5, 69
1709578500, 1, 36
1709578500, 2, 40
1709578500, 3, 28
1709578500, 4, 60
1709578500, 5, 37
1709578800, 1, 39
1709578800, 2, 44
1709578800, 3, 70
1709578800, 4, 50
1709578800, 5, 40
1709579100, 1, 47
1709579100, 2, 58
1709579100, 3, 52
1709579100, 4, 30
1709579100, 5, 50
1709579400, 1, 53
1709579400, 2, 84
1709579400, 3, 70
1709579400, 4, 52
1709579400, 5, 51
1709579700, 1, 19
1709579700, 2, 73
1709579700, 3, 47
1709579700, 4, 45
1709579700, 5, 63
1709580000, 1, 39
1709580000, 2, 44
1709580000, 3, 28
1709580000, 4, 46
1709580000, 5, 51
1709580300, 1, 54
1709580300, 2, 61
1709580300, 3, 80
1709580300, 4, 29
1709580300, 5, 42
1709580600, 1, 67
1709580600, 2, 34
1709580600, 3, 29
1709580600, 4, 38
1709580600, 5, 70
1709580900, 1, 13
1709580900, 2, 30
1709580900, 3, 80
1709580900, 4, 62
1709580900, 5, 38
1709581200, 1, 60
1709581200, 2, 80
1709581200, 3, 46
1709581200, 4, 26
1709581200, 5, 84
1709581500, 1, 40
1709581500, 2, 17
1709581500, 3, 104
1709581500, 4, 37
1709581500, 5, 27
1709581800, 1, 60
1709581800, 2, 39
1709581800, 3, 75
1709581800, 4, 54
1709581800, 5, 44
1709582100, 1, 53
1709582100, 2, 67
1709582100, 3, 39
1709582100, 4, 55
1709582100, 5, 58
1709582400, 1, 64
1709582400, 2, 54
1709582400, 3, 50
1709582400, 4, 84
1709582400, 5, 45
1709582700, 1, 51
1709582700, 2, 74
1709582700, 3, 81
1709582700, 4, 13
1709582700, 5, 32
1709583000, 1, 81
1709583000, 2, 46
1709583000, 3, 73
1709583000, 4, 61
1709583000, 5, 40
1709583300, 1, 68
1709583300, 2, 57
1709583300, 3, 32
1709583300, 4, 55
1709583300, 5, 51
1709583600, 1, 57
